Sport	Service	Type	Style	y	R2	RMSE	MAE	ModelType	Date	Params
nba	fanduel	GPP	classic	top	.348	22.73	3.71	skautoml-pca	2021080?	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'

nhl	draftkings	FIFTY_FIFTY	classic	last	-.019	13.244	3.22	skautoml	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	FIFTY_FIFTY	classic	last	.115	12.333	3.06	skautoml-pca	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	FIFTY_FIFTY	classic	top	.304	18.909	3.95	skautoml	20210805	'{"train_time": 120, "per_run_time": 30, "model_cols": "best-possible-score"}'
nhl	draftkings	FIFTY_FIFTY	classic	top	.305	18.895	3.88	skautoml	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	FIFTY_FIFTY	classic	top	.313	18.781	3.85	skautoml-pca	20210805	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	last	.038	21.74	4.15	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.038	21.74	4.15	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.07	21.366	4.13	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.07	21.366	4.13	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	last	.09	21.13	4.16	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	draftkings	GPP	classic	last	.11	20.88	4.1	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	last	.18	20.03	3.99	skautoml-pca	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.422	19.83	3.89	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": "best-possible-score"}'
nhl	draftkings	GPP	classic	top	.44	19.431	3.864	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	top	.44	19.431	3.864	skautoml	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	draftkings	GPP	classic	top	.46	19.048	3.80	skautoml-pca	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.46	19.048	3.80	skautoml-pca	20210807	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.462	19.13	3.76	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.462	19.13	3.76	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
nhl	draftkings	GPP	classic	top	.498	18.478	3.72	skautoml	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.13	21.719	4.07	skautoml	20210806	'{"train_time": 120, "per_run_time": 30, "model_cols": null}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.13	21.775	4.09	skautoml-pca	20210806	'{"train_time": 120, "per_run_time": 30, "model_cols": null, "n_components": 5}'
nhl	fanduel	FIFTY_FIFTY	classic	last	.13	21.78	4.09	skautoml-pca	20210807	'{"train_time": 600, "per_run_time": 120, "model_cols": null, "n_components": 5}'
