Result for 2018-11-15:
	bayes_score	crossover_prob	fpts	generations	mut_filling_swapadd	mut_full_swapdrop	mut_max_pct	mut_prob	offspring	population	run-time	runs
0	116.65666553159674	0.5292	116.65666553159674	109	0.4104484952	0.2906853957	0.0372107989	0.4708	589	471	0 days 00:02:07.810981000	2
1	122.29070284830536	0.32671	122.29070284830536	553	0.4741520382	0.3366946668	0.2228142755	0.67329	593	802	0 days 00:00:23.106612000	1
2	123.38199703211741	0.38767	123.38199703211741	360	0.4774842974	0.8150201849	0.373918895	0.61233	537	301	0 days 00:01:55.163657000	1
3	123.20875018692769	0.55997	123.20875018692769	587	0.1330390171	0.2314305517	0.3433177362	0.44003	600	563	0 days 00:01:01.122263000	2
4	122.09278119306464	0.63363	122.09278119306464	529	0.1672928884	0.6895564561	0.3116984886	0.36637	473	108	0 days 00:00:20.027139000	1
5	121.89773534904283	0.36688	121.89773534904283	522	0.2104655482	0.2434210115	0.382674855	0.63312	657	732	0 days 00:08:29.914907000	2
6	105.93519082594166	0.1	105.93519082594166	50	0.5	0.1	0.0	0.9	1000	1000	0 days 00:00:55.998512000	1
7	123.02229126679023	0.41325	123.02229126679023	423	0.4059850177	0.679473134	0.3764417394	0.58675	551	383	0 days 00:01:27.075390000	1
8	122.12121520386533	0.76917	122.12121520386533	600	0.1138977802	0.6559767504	0.2634514593	0.23083	410	100	0 days 00:00:13.350402000	1
9	123.065924644294	0.38239	123.065924644294	346	0.4999794082	0.8734747368	0.3763182693	0.61761	531	280	0 days 00:01:35.114454000	1
10	122.8490444216005	0.25677	122.8490444216005	600	0.4797451432	0.4729854835	0.3904327184	0.74323	569	722	0 days 00:01:11.634815000	2
11	122.23023190294364	0.5	122.23023190294364	65	0.5	0.8683806415	0.3262047192	0.5	575	100	0 days 00:00:13.715312000	1
12	123.38199703211741	0.3516	123.38199703211741	600	0.4991326712	0.4498706627	0.3135000845	0.6484	496	672	0 days 00:00:30.147429000	2
13	123.38199703211741	0.40643	123.38199703211741	600	0.3950146116	0.3052109529	0.3130890656	0.59357	500	716	0 days 00:00:26.555027000	2
14	123.02229126679023	0.27253	123.02229126679023	600	0.4119155348	0.3873471901	0.314033456	0.72747	507	697	0 days 00:00:40.359719000	2
15	118.98152447682966	0.5	118.98152447682966	600	0.5	0.1985041882	0.2443125383	0.5	193	948	0 days 00:00:09.548152000	1
16	119.68401741770215	0.5	119.68401741770215	600	0.5	0.1	0.75	0.5	402	1000	0 days 00:00:24.125221000	2
17	119.40341243619169	0.9	119.40341243619169	430	0.3784112159	0.9	0.3276042954	0.1	531	596	0 days 00:04:00.408379000	1
18	121.48621994845755	0.34714	121.48621994845755	597	0.295219643	0.1930672101	0.3358424906	0.65286	583	582	0 days 00:00:32.302001000	2
19	121.96666908507216	0.73153	121.96666908507216	600	0.1	0.2904418247	0.3829324767	0.26847	548	517	0 days 00:00:49.065565000	2
20	123.38199703211741	0.3441	123.38199703211741	537	0.5	0.7791071546	0.3209585881	0.6559	537	639	0 days 00:00:53.967464000	1
21	123.38199703211741	0.28655	123.38199703211741	408	0.4857402241	0.9	0.3976532481	0.71345	559	328	0 days 00:02:12.936594000	1
22	123.28390420911354	0.28167	123.28390420911354	495	0.5	0.6168451292	0.2948206587	0.71833	495	789	0 days 00:00:55.180783000	2
23	121.70528176869243	0.5	121.70528176869243	114	0.5	0.9	0.5986195576	0.5	611	100	0 days 00:00:24.410123000	1
24	122.6349604938658	0.29868	122.6349604938658	514	0.5	0.8070734808	0.2795431305	0.70132	498	706	0 days 00:01:01.682162000	2
25	123.38199703211741	0.48644	123.38199703211741	600	0.4667893862	0.4565881737	0.2807739835	0.51356	529	754	0 days 00:00:24.076141000	1
26	123.38199703211741	0.39846	123.38199703211741	568	0.5	0.5585256054	0.2923622829	0.60154	563	651	0 days 00:00:46.524971000	1
27	123.38199703211741	0.42105	123.38199703211741	599	0.4508392378	0.4997670949	0.3341748562	0.57895	553	694	0 days 00:00:37.834314000	1
28	123.38199703211741	0.33538	123.38199703211741	403	0.5	0.9	0.3989391586	0.66462	571	364	0 days 00:05:10.416113000	2
29	123.38199703211741	0.29893	123.38199703211741	518	0.5	0.5584799284	0.2500954051	0.70107	564	646	0 days 00:01:54.095473000	1


