Result for 2018-12-03:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	297.7014140787544	0.2277265613850417	297.7014140787544	1455	0.7722734386149582	1121	540	2
1	287.65533253578565	0.25196364130166415	287.65533253578565	1361	0.7480363586983357	1087	262	1
2	294.22344777016065	0.1623239223	294.22344777016065	788	0.7206995519	718	1881	2
3	287.96319386391065	0.1526446855	287.96319386391065	1902	0.7562195844	1106	237	2
4	262.9459209146919	0.3651487243	262.9459209146919	165	0.4887835947	384	1281	1
5	288.84564015297315	0.2936753836	288.84564015297315	797	0.1154363256	242	1716	2
6	295.88091847328565	0.22365328761819256	295.88091847328565	1439	0.7763467123818074	1124	566	2
7	297.4738750162544	0.22969223882704337	297.4738750162544	1500	0.7703077611729565	1199	1289	2
8	295.8289775553169	0.2400379926030776	295.8289775553169	1314	0.7599620073969223	1017	1494	2
9	299.6562480631294	0.22762314672117742	299.6562480631294	1697	0.7723768532788227	1556	1730	2
10	297.7451152506294	0.22938278897492953	297.7451152506294	1817	0.7706172110250704	1836	2000	2
11	298.8237285318794	0.22029531448799194	298.8237285318794	1895	0.779704685512008	1637	1739	2
12	294.7796611490669	0.14222616936750643	294.7796611490669	2000	0.8577738306324936	1483	1017	1
13	284.45599171547315	0.1	284.45599171547315	50	0.5302460176	1882	2000	2
14	273.0098857584419	0.29314644788744604	273.0098857584419	338	0.706853552112554	251	1166	3
15	295.85491749672315	0.19377920552101094	295.85491749672315	1630	0.8062207944789891	2000	2000	1
16	293.2999248209419	0.2390808016	293.2999248209419	2000	0.7146452679	2000	2000	2
17	244.87194630531692	0.20242066759482968	244.87194630531692	266	0.7975793324051702	100	2000	2
18	293.7608623209419	0.3499524924	293.7608623209419	1690	0.5156900448	701	2000	3
19	294.48834034828565	0.137240958	294.48834034828565	1070	0.3512758366	1776	1893	3
20	288.52557179359815	0.1847414765	288.52557179359815	1113	0.1	210	2000	3
21	298.52190968422315	0.2164057474665855	298.52190968422315	1761	0.7835942525334144	1356	1544	2
22	290.0317363443794	0.1316809487	290.0317363443794	947	0.6154819888	1134	2000	2
23	297.80682179359815	0.20699168924821693	297.80682179359815	1483	0.7930083107517831	1253	890	3
24	297.15020558266065	0.18479568216141584	297.15020558266065	1757	0.8152043178385842	1287	1447	2


Result for 2019-01-21:
	bayes_score	crossover_prob	fpts	generations	mutation_prob	offspring	population	runs
0	307.8363017740669	0.411510841	307.8363017740669	792	0.2037537411	1603	1208	2
1	268.88067433266065	0.7145901509276591	268.88067433266065	755	0.2854098490723409	223	1825	2
2	301.0026836100044	0.2683218087	301.0026836100044	763	0.168122702	1750	642	3
3	301.2172832193794	0.45170189780889203	301.2172832193794	246	0.5482981021911081	998	364	2
4	295.4587382975044	0.5880712111	295.4587382975044	1365	0.3137911783	1860	278	2
5	299.1829814615669	0.3130480362	299.1829814615669	783	0.2033746786	1603	1204	1
6	299.7315044107857	0.4570311438	299.7315044107857	794	0.2038464312	1603	1209	2
7	284.1660136881294	0.1	284.1660136881294	2000	0.9	100	2000	3
8	310.2291240396919	0.2420058192	310.2291240396919	617	0.6964355029	1339	1976	3
9	275.2765788736763	0.1	275.2765788736763	50	0.9	1347	2000	3
10	304.7336406412544	0.46098183865920195	304.7336406412544	711	0.5390181613407979	1623	1979	3
11	262.1971530619087	0.1	262.1971530619087	50	0.6858748224	523	1443	3
12	304.8449687662544	0.5538822058798213	304.8449687662544	677	0.4461177941201787	1347	714	3
13	301.5417461100044	0.1490834855	301.5417461100044	1894	0.4782281355	1342	1830	1
14	306.41222950844195	0.7062386011	306.41222950844195	555	0.1	1100	1170	3
15	303.60308644203565	0.1526695259	303.60308644203565	651	0.5970205565	2000	1625	2
16	303.44930836586377	0.3612581636	303.44930836586377	673	0.1	1409	1651	2
17	304.13827320961377	0.1	304.13827320961377	354	0.5704570555	1386	2000	3
18	299.7000713053169	0.4275001394614431	299.7000713053169	559	0.572499860538557	1481	2000	3
19	302.83323475746533	0.1	302.83323475746533	390	0.1	653	100	2
20	306.99865528969195	0.1	306.99865528969195	410	0.2247848226	1166	100	3
21	302.1840877237739	0.4278063711065642	302.1840877237739	571	0.5721936288934358	1688	1834	3
22	311.1798076334419	0.37240287541110184	311.1798076334419	2000	0.6275971245888983	2000	379	1
23	304.22570607094195	0.9	304.22570607094195	2000	0.1	2000	100	1
24	302.61370655922315	0.1	302.61370655922315	613	0.1	969	1475	3


